,State_id,State,University,State_New,Latitude,Longitude
0,State1,Baden-Württemberg,10,Baden-Württemberg,48.6296972,9.1949534
1,State2,Bavaria,12,Bayern,48.9467562,11.4038717
2,State3,Berlin,6,Berlin,52.5170365,13.3888599
3,State4,Brandenburg,3,Brandenburg,52.8455492,13.2461296
4,State5,Bremen,2,Bremen,53.0758196,8.8071646
5,State6,Hamburg,4,Hamburg,53.550341,10.000654
6,State7,Hesse,5,Hesse,50.6118537,9.1909725
7,State8,Lower Saxony,8,Niedersachsen,52.8398531,9.075962
8,State9,Mecklenburg-Vorpommern,2,Mecklenburg-Vorpommern,53.7735234,12.5755746
9,State10,North Rhine-Westphalia,15,Nordrhein-Westfalen,51.4785568,7.5533645
10,State11,Rhineland-Palatinate,5,Rheinland-Pfalz,49.7497346,7.4396553
11,State12,Saarland,1,Saarland,49.4173988,6.9805789
12,State13,Saxony,4,Sachsen,50.9295798,13.4585052
13,State14,Saxony-Anhalt,3,Sachsen-Anhalt,51.908526,11.4939134
14,State15,Schleswig-Holstein,3,Schleswig-Holstein,54.1853998,9.8220089
15,State16,Thuringia,4,Thüringen,50.7333163,11.0747905
